LCSC Part Number,Quantity,Manufacturer Part Number,Designator,Description
C400894,5,AOD4185 (AOS),Q20,"P-MOSFET −40 V, ≤10 mΩ"
C15127,5,AO3401A,Q21,P-MOSFET −30 V
C78409,5,SMBJ15A/TR13 (Brightking),D20,"TVS unidir, 15 V standoff, 600 W"
C216719,6,BZT52C10,D21 D22,"Zener 10 V, 500 mW"
C6674609,2,MP2393GTL-Z,U4,"Buck 3 A COT, 4.2–24 V in, PG+SS"
C5189747,5,CYA0630-3.3UH (SHOU HAN),L20,"Power inductor 3.3 µH, ≥4 A sat, shielded"
C72477,5,RVT1E101M0607 (ROQANG),C20,"Electrolytic 100 µF, 25 V"
C89632,20,CL31B106KBHNNNE (50V),C21 C22,"Ceramic X7R 10 µF, ≥25 V"
C14663,100,CC0603KRX7R9BB104,C28 C29 C32 C41 C51 C53 C60 C70 C90 C91,"Ceramic 0.1 µF, 50 V X7R"
C15849,100,CL10A105KB8NNNC (Samsung),C23 C42 C50,"Ceramic 1 µF, 50 V X5R"
C22950,100,0603WAF200JT5E (Uniroyal),R29,20 Ω 1%
C12891,20,CL31A226KAHNNNE (Samsung),"C24, C25","Ceramic 22 µF, 25 V X5R"
C137723,100,RC0603FR-0740K2L (Yageo),R21,40.2 kΩ 1%
C22797,100,0603WAF1302T5E (Uniroyal),R22,13 kΩ 1%
C4184,100,0603WAF2002T5E (Uniroyal),R28,20 kΩ 1%
C1634,100,CL10C100JB8NNNC (Samsung),C30,"10 pF C0G, 50 V"
C1631,100,0603B682K500NT (FH),C27,"Ceramic 6.8 nF, 50 V X7R"
C22935,100,0603WAF1004T5E (Uniroyal),R24,1 MΩ 1%
C1588,100,CL10B102KB8NNNC (Samsung),C31 C43,"Ceramic 1 nF, 50 V X7R"
C25803,100,0603WAF1003T5E (Uniroyal),"R20 R26 R30 R6 , R82 R60 R61",100 kΩ 1%
C21190,100,0603WAF1001T5E (Uniroyal),R31 R40,1 kΩ 1%
C23178,100,0603WAF4703T5E (Uniroyal),R25,470 kΩ 1%
C49851,4,INA226AIDGSR,U20 U5,"INA226, addr 0x41"
C553969,5,WSL2512R0200FEA (Vishay),R27,Shunt 20 mΩ 1 W 1%
C701344,2,ESP32-WROOM-32UE-N4,U1,"ESP32-WROOM-32UE-N4 (4 MB, U.FL)"
C15850,20,CL21A106KAYNNNE (Samsung),C40,"Ceramic 10 µF, 25 V X5R"
C25804,100,0603WAF1002T5E (Uniroyal),"R11 R12 R50 R51 R7 , R83 R8 R80 , R81",10 kΩ 1%
C5148523,10,150080VS75000 (Wurth),LED2,LED bright green
C318884,6,TS-1187A-B-A-B (XKB),SW1 SW2,Tactile switch
C969151,2,CP2102N-A02-GQFN24R,U2,CP2102N USB-UART bridge
C165948,5,TYPE-C-31-M-12 (Korean Hroparts),J1,"USB-C receptacle, 16-pin, USB-2.0"
C7519,5,USBLC6-2SC6 (ST),D50,"USB ESD array, 2-line"
C20526,6,MMBT3904,Q50 Q51,NPN transistor
C23186,100,0603WAF5101T5E (Uniroyal),R52 R53,5.1 kΩ 1%
C31850,100,0603WAF2202T5E (Uniroyal),R54,22 kΩ 1%
C25819,100,0603WAF4702T5E (Uniroyal),R55,47 kΩ 1%
C23179,100,0603WAF4700T5E (Uniroyal),R56 R57,470 Ω 1%
C19666,20,CL10A475KO8NNNC (Samsung),C52,"Ceramic 4.7 µF, 16 V X5R"
C5215922,2,THVD1426DRLR (TI),U3,"RS485 auto-direction, ±12 kV IEC"
C22787,100,0603WAF1200T5E (Uniroyal),R3,120 Ω 1%
C12067,5,SM712.TCT (Semtech),D4,"RS485 TVS, asymmetric +12/−7 V"
C144395,9,JST-XH4,"J4 J5 , J10",Connector 4-pin (A/B/SENS_12V/GND)
C8545,9,2N7002,"Q1 , Q81 Q60",N-MOSFET 60 V
C148243,5,NCE40H12K,Q2,"N-MOSFET 40 V 120 A, Vgs(th) ≤2.5 V"
C968538,5,SS10P4-M3/86A (Vishay),D1,Schottky 40 V 10 A
C151255,5,SMBJ16CA (Littelfuse),D2,"TVS bidirectional, 16 V standoff"
C5375417,5,HoYLR2512-2W-5mR-1% (Milliohm),R1,Current shunt 5 mΩ 1% ≥2 W
C22775,100,0603WAF1000T5E (Uniroyal),R9,100 Ω 1%
C507622,5,UWT1E471MNL1GS (Nichicon),C5,Electrolytic 470 µF 25 V
C92489,2,BME280 (Bosch),U6,"BME280, temp/humidity/pressure"
C23162,100,0603WAF4701T5E (Uniroyal),R90 R91,4.7 kΩ 1%
