Designator,Footprint,Quantity,Value,LCSC Part #
BREAKOUTBOARD1,MAX485ESA+T_breakout,1,~,
C2,CP_EIA-2012-12_Kemet-R,1,1u,
C3,0805,1,0u1,
"C4, C5, C6",0805,3,10u,
"D1, D2",D_SMA,2,SS14,
"D3, D4",D_SMA,2,M7,
IC1,LM317BD2TR4G,1,LM317BD2TR4G,
IC2,SOIC127P600X175-8N,1,AP2115M-3.3TRG1,
J1,120715561,1,MAIN_PUMP_RELAY,
J2,120715561,1,RESERVOIR_PUMP_RELAY,
J3,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,RESERVOIR_SENSOR_LOW,
J4,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,RESERVOIR_SENSOR_HIGH,
J5,WEID_1715010000,1,12V_INPUT,
J6,WEID_1715010000,1,RESERVOIR_PUMP_OUT,
J7,WEID_1715010000,1,MAIN_PUMP_OUT,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,+3V3_open,
JP2,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,+5V_Closed,
"JP3, JP4",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,2,normal_open,
LED1,150080SS75000,1,PWR,
LED2,LEDC2012X80N,1,STATUS,
"Q1, Q3",SOP254P1016X385-4N,2,FOD817BSD,
"Q2, Q4",SOT95P240X115-3N,2,SS8050-G,
"R1, R2, R5, R8",0805,4,100,
"R10, R7",0805,2,10k,
R3,0805,1,240,
R4,0805,1,715,
"R6, R9",0805,2,1k,
U1,ESP32-DEVKITC-32E_MODULE_ESP32-DEVKITC-32E-for headers,1,ESP32-DEVKITC-32E,
U2,BME_280_qt_version,1,~,
U4,TXS10108E_breakout,1,~,
